ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State,Priority,Tags,Test Case ID,Module,Category,Automation Path
,Test Case,[ULIST-001] Should load users table with pagination info,1,Login and open Users page.,Users table or empty state is visible. Total count and page info are displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users,ULIST-001,Users - List,positive,tests/users/users-list.spec.js
,Test Case,[ULIST-002] Should refresh users list,1,Click Refresh on Users page.,Users table reloads successfully.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users,ULIST-002,Users - List,positive,tests/users/users-list.spec.js
,Test Case,[ULIST-003] Should paginate users,1,"If next page is enabled, click Next.",Page indicator changes. Previous page can be navigated back.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Pagination,ULIST-003,Users - List,positive,tests/users/users-list.spec.js
,Test Case,[ULIST-004] Should change page size,1,Set page size to 5.,At most 5 user rows are displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Pagination,ULIST-004,Users - List,positive,tests/users/users-list.spec.js
,Test Case,[ULIST-005] Should open user details drawer,1,Click View on first user row.,User details drawer opens with name and email.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users,ULIST-005,Users - List,positive,tests/users/users-list.spec.js
,Test Case,[ULIST-005] Should open user details drawer,2,Close details drawer.,Drawer is closed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users,ULIST-005,Users - List,positive,tests/users/users-list.spec.js
,Test Case,[UFILT-001] Should search users with debounced query,1,Enter a known user email in search.,Table filters to matching user after debounce.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users; Search,UFILT-001,Users - Filters,positive,tests/users/users-filters.spec.js
,Test Case,[UFILT-002] Should filter users by role,1,Filter by role Engineer.,All visible rows show role Engineer.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Filter,UFILT-002,Users - Filters,positive,tests/users/users-filters.spec.js
,Test Case,[UFILT-003] Should filter users by status,1,Filter by status Active.,Visible users show Active status.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Filter,UFILT-003,Users - Filters,positive,tests/users/users-filters.spec.js
,Test Case,[UFILT-004] Should sort users by email column,1,Click sort on Email column.,Users table remains visible with sorted data.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Sort,UFILT-004,Users - Filters,positive,tests/users/users-filters.spec.js
,Test Case,[UFILT-005] Should select users and show selected count,1,Select one user checkbox.,Selected count shows 'Selected: 1'. Bulk delete is available.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Selection,UFILT-005,Users - Filters,positive,tests/users/users-filters.spec.js
,Test Case,[UFILT-006] Should select all visible users,1,Click select-all checkbox.,Selected count matches number of visible rows.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; Selection,UFILT-006,Users - Filters,positive,tests/users/users-filters.spec.js
,Test Case,[UCRUD-001] Should create a new user,1,Click Add User and fill valid user form.,Success toast 'User created' appears. New user row is visible.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Users; CRUD,UCRUD-001,Users - CRUD,positive,tests/users/users-crud.spec.js
,Test Case,[UCRUD-002] Should validate required fields in user form,1,Open create user modal and submit empty form.,Required field validation messages are displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users; CRUD,UCRUD-002,Users - CRUD,validation,tests/users/users-crud.spec.js
,Test Case,[UCRUD-003] Should show duplicate email error,1,"Create user via API, then attempt to create another user with same email in UI.",Server error about duplicate email is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users; CRUD,UCRUD-003,Users - CRUD,negative,tests/users/users-crud.spec.js
,Test Case,[UCRUD-004] Should edit an existing user,1,Open edit for existing user and update first/last name.,Success toast 'User updated'. Row shows updated name.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users; CRUD,UCRUD-004,Users - CRUD,positive,tests/users/users-crud.spec.js
,Test Case,[UCRUD-005] Should delete a single user,1,Click delete on user and confirm dialog.,Success toast 'Deleted'. User row is removed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users; CRUD,UCRUD-005,Users - CRUD,positive,tests/users/users-crud.spec.js
,Test Case,[UCRUD-006] Should bulk delete selected users,1,"Select multiple users and click Bulk Delete, then confirm.",Success toast 'Deleted'. Selected rows are removed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Users; CRUD,UCRUD-006,Users - CRUD,positive,tests/users/users-crud.spec.js
,Test Case,[UCRUD-007] Should cancel delete from confirmation dialog,1,Click delete on user and cancel confirmation.,User row remains in the table.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Users; CRUD,UCRUD-007,Users - CRUD,positive,tests/users/users-crud.spec.js
,Test Case,[PROD-001] Should load products grid with totals,1,Login and open Products page.,Grid or empty state visible. Total and 'Selected: 0' displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Products,PROD-001,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-002] Should refresh products grid,1,Click Refresh on Products page.,Products grid reloads.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Products,PROD-002,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-003] Should search products,1,Search with partial product name.,Matching products appear in grid.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Products; Search,PROD-003,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-004] Should filter products by status,1,Filter by status Active.,Visible product cards show Active status.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Products; Filter,PROD-004,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-005] Should sort products by name ascending,1,Select sort option name-asc.,Products grid remains visible with sort applied.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Products; Sort,PROD-005,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-006] Should change products page size,1,Set page size to 6.,At most 6 product cards are displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Products; Pagination,PROD-006,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-007] Should paginate products when multiple pages exist,1,"If next page enabled, click Next.",Page indicator changes.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Products; Pagination,PROD-007,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-008] Should select and deselect a product,1,Toggle select on a product.,Selected count is 1. Toggle shows Selected.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Products; Selection,PROD-008,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-008] Should select and deselect a product,2,Toggle same product again.,Selected count returns to 0.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Products; Selection,PROD-008,Products,positive,tests/products/products.spec.js
,Test Case,[PROD-009] Should persist selected products after refresh,1,Select a product and refresh page.,Product remains selected after refresh.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Products; Selection,PROD-009,Products,positive,tests/products/products.spec.js
